
==== 1+2站/3+4站合併結果 ====
樣品ID,組別,合併結果,分數,瑕疵名稱
0,1+2,NG,1.00,deform
0,3+4,OK,0.00,OK
1,1+2,NG,0.64,SC
1,3+4,OK,0.00,OK
2,1+2,NG,0.78,SC
2,3+4,OK,0.00,OK
3,1+2,NG,0.71,SC
3,3+4,OK,0.00,OK
4,1+2,OK,0.00,OK
4,3+4,OK,0.00,OK
5,1+2,OK,0.00,OK
5,3+4,OK,0.00,OK
6,1+2,NG,0.68,SC
6,3+4,OK,0.00,OK
7,1+2,NG,0.87,SC
7,3+4,OK,0.00,OK
8,1+2,NG,0.68,SC
8,3+4,OK,0.00,OK
9,1+2,NG,0.89,SC
9,3+4,OK,0.00,OK
10,1+2,NG,0.81,SC
10,3+4,OK,0.00,OK
11,1+2,NG,0.86,SC
11,3+4,OK,0.00,OK
12,1+2,NG,0.74,SC
12,3+4,OK,0.00,OK
13,1+2,NG,0.87,SC
13,3+4,OK,0.00,OK
14,1+2,NG,0.81,SC
14,3+4,OK,0.00,OK
15,1+2,NG,0.84,SC
15,3+4,OK,0.00,OK
16,1+2,NG,0.84,SC
16,3+4,OK,0.00,OK
17,1+2,NG,0.83,SC
17,3+4,OK,0.00,OK
18,1+2,NG,0.73,SC
18,3+4,OK,0.00,OK
19,1+2,NG,0.79,INP
19,3+4,OK,0.00,OK
20,1+2,NG,0.83,SC
20,3+4,OK,0.00,OK
21,1+2,NG,0.86,SC
21,3+4,OK,0.00,OK
22,1+2,NG,0.83,SC
22,3+4,OK,0.00,OK
23,1+2,OK,0.00,OK
23,3+4,OK,0.00,OK
24,1+2,NG,0.83,SC
24,3+4,OK,0.00,OK
25,1+2,NG,0.85,SC
25,3+4,OK,0.00,OK
26,1+2,NG,0.76,SC
26,3+4,OK,0.00,OK
27,1+2,NG,0.83,SC
27,3+4,OK,0.00,OK
28,1+2,NG,0.85,SC
28,3+4,OK,0.00,OK
29,1+2,NG,0.80,SC
29,3+4,OK,0.00,OK
30,1+2,NG,0.85,SC
30,3+4,OK,0.00,OK
31,1+2,NG,0.81,SC
31,3+4,OK,0.00,OK
32,1+2,NG,0.83,SC
32,3+4,OK,0.00,OK
33,1+2,NG,0.64,SC
33,3+4,OK,0.00,OK
34,1+2,NG,0.85,SC
34,3+4,OK,0.00,OK
35,1+2,NG,0.85,SC
35,3+4,OK,0.00,OK
36,1+2,NG,0.78,SC
36,3+4,OK,0.00,OK
37,1+2,NG,0.85,SC
37,3+4,OK,0.00,OK
38,1+2,NG,0.82,SC
38,3+4,OK,0.00,OK
39,1+2,NG,0.79,SC
39,3+4,OK,0.00,OK
40,1+2,NG,0.75,SC
40,3+4,OK,0.00,OK
41,1+2,NG,0.83,SC
41,3+4,OK,0.00,OK
42,1+2,NG,0.84,SC
42,3+4,OK,0.00,OK
43,1+2,OK,0.00,OK
43,3+4,OK,0.00,OK
44,1+2,NG,0.76,SC
44,3+4,OK,0.00,OK
45,1+2,OK,0.00,OK
45,3+4,OK,0.00,OK
46,1+2,NG,0.57,SC
46,3+4,OK,0.00,OK
47,1+2,NG,0.82,SC
47,3+4,OK,0.00,OK
48,1+2,NG,0.80,SC
48,3+4,OK,0.00,OK
49,1+2,NG,0.84,SC
49,3+4,OK,0.00,OK
50,1+2,NG,0.74,SC
50,3+4,OK,0.00,OK
51,1+2,NG,0.82,SC
51,3+4,OK,0.00,OK
52,1+2,NG,0.86,SC
52,3+4,OK,0.00,OK
53,1+2,NG,0.63,SC
53,3+4,OK,0.00,OK
54,1+2,NG,0.84,SC
54,3+4,OK,0.00,OK
55,1+2,NG,0.86,SC
55,3+4,OK,0.00,OK
56,1+2,NG,1.00,NULL_invalid
56,3+4,OK,0.00,OK
57,1+2,NG,0.88,SC
57,3+4,OK,0.00,OK
58,1+2,NG,0.85,SC
58,3+4,OK,0.00,OK
59,1+2,NG,0.86,SC
59,3+4,OK,0.00,OK
60,1+2,NG,0.87,SC
60,3+4,OK,0.00,OK
61,1+2,NG,0.81,SC
61,3+4,OK,0.00,OK
62,1+2,NG,0.81,SC
62,3+4,OK,0.00,OK
63,1+2,NG,0.82,SC
63,3+4,OK,0.00,OK
64,1+2,NG,1.00,deform
64,3+4,OK,0.00,OK
65,1+2,NG,0.82,SC
65,3+4,OK,0.00,OK
66,1+2,NG,0.80,SC
66,3+4,OK,0.00,OK
67,1+2,NG,0.76,SC
67,3+4,OK,0.00,OK
68,1+2,NG,0.81,SC
68,3+4,OK,0.00,OK
69,1+2,NG,0.82,SC
69,3+4,OK,0.00,OK
70,1+2,NG,0.80,SC
70,3+4,OK,0.00,OK
71,1+2,NG,0.79,SC
71,3+4,OK,0.00,OK
72,1+2,NG,0.83,INP
72,3+4,OK,0.00,OK
73,1+2,NG,0.82,SC
73,3+4,OK,0.00,OK
74,1+2,NG,0.73,INP
74,3+4,OK,0.00,OK
75,1+2,NG,0.82,SC
75,3+4,OK,0.00,OK
76,1+2,NG,0.78,SC
76,3+4,OK,0.00,OK
77,1+2,NG,0.82,SC
77,3+4,OK,0.00,OK
78,1+2,NG,0.81,SC
78,3+4,OK,0.00,OK
79,1+2,NG,0.72,SC
79,3+4,OK,0.00,OK
80,1+2,NG,0.83,SC
80,3+4,OK,0.00,OK
81,1+2,NG,0.85,SC
81,3+4,OK,0.00,OK
82,1+2,NG,0.86,SC
82,3+4,OK,0.00,OK
83,1+2,NG,0.72,SC
83,3+4,OK,0.00,OK
84,1+2,NG,0.73,SC
84,3+4,OK,0.00,OK
85,1+2,NG,0.87,SC
85,3+4,OK,0.00,OK
86,1+2,NG,0.81,SC
86,3+4,OK,0.00,OK
87,1+2,NG,0.86,SC
87,3+4,OK,0.00,OK
88,1+2,NG,0.82,SC
88,3+4,OK,0.00,OK
89,1+2,NG,1.00,deform
89,3+4,OK,0.00,OK
90,1+2,NG,0.84,SC
90,3+4,OK,0.00,OK
91,1+2,NG,0.68,SC
91,3+4,OK,0.00,OK
92,1+2,NG,0.48,SC
92,3+4,OK,0.00,OK
93,1+2,NG,0.84,SC
93,3+4,OK,0.00,OK
94,1+2,NG,0.69,SC
94,3+4,OK,0.00,OK
95,1+2,NG,0.83,SC
95,3+4,OK,0.00,OK
96,1+2,NG,0.84,SC
96,3+4,OK,0.00,OK
97,1+2,NG,0.84,SC
97,3+4,OK,0.00,OK
98,1+2,NG,0.88,SC
98,3+4,OK,0.00,OK
99,1+2,NG,0.58,SC
99,3+4,OK,0.00,OK
100,1+2,NG,0.82,SC
100,3+4,OK,0.00,OK
101,1+2,NG,0.87,SC
101,3+4,OK,0.00,OK
102,1+2,NG,0.87,SC
102,3+4,OK,0.00,OK
103,1+2,NG,0.84,SC
103,3+4,OK,0.00,OK
104,1+2,NG,0.59,SC
104,3+4,OK,0.00,OK
105,1+2,NG,0.87,SC
105,3+4,OK,0.00,OK
106,1+2,NG,0.83,SC
106,3+4,OK,0.00,OK
107,1+2,NG,0.90,SC
107,3+4,OK,0.00,OK
108,1+2,NG,0.81,SC
108,3+4,OK,0.00,OK
109,1+2,NG,0.81,SC
109,3+4,OK,0.00,OK
